3D capture:,3D:,Additional microphone(s):,Bluetooth:,Broadcast Mobile TV:,CDMA:,Charging:,Colors:,Data:,Dimensions with the dock:,Dimensions:,Display size:,Dock Features:,Dual SIM:,EU SAR:,External antenna:,Features:,Fifth camera:,Flash:,Fourth camera:,Front:,GSM:,HD Voice:,HDMI:,Headphones connector:,Hearing aid compatibility:,In The Box:,LTE (FDD):,LTE (TDD):,MSRP price:,Main camera:,Materials:,Maximum User Storage:,Mobile Payment:,Model without AMPS is also available (FCC ID:,None,Notifications:,OS:,Other features:,Other:,Peak brightness:,Phone functionality:,Projector:,ROM:,Radio:,Rear:,Resistance:,Resolution:,SIM type:,Screen mirroring:,Second camera:,Sensors:,Speakers:,Storage expansion:,Tablet dock:,Technology:,Third camera:,UMTS:,USB:,Unnamed: 0,Video playback:,Video recording:,VoLTE:,Warranty period:,Weight with the dock:,Weight:,Wi-Fi:,rating
,,,"2.1, EDR",,,,,,,10.24 x 6.89 x 0.49 inches (260 x 175 x 12.4 mm),10.1 inches,,,,,,,,,2 megapixels,,,,3.5mm,,,,,,,,,,,None,"Silent mode, Speakerphone","Android (4.0, 3.2)","Voice commands, Voice recording","Computer sync, OTA sync",,,,,,,,1280 x 800 pixels,,,,"Accelerometer, Gyroscope",,up to 32 GB,,,,,USB 2.0,0,,None,,,,None,"802.11 b, g, n",6.0
,,,"2.1, EDR",,,,"Black, Blue","HSDPA 7.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,7.68 x 4.61 x 0.52 inches (195 x 117 x 13.1 mm ),7.0 inches,,,,,Scratch-resistant glass (Corning Gorilla Glass),,LED,,2 megapixels,"850, 900, 1800, 1900 MHz",,Micro HDMI (Type D),3.5mm,,,,,,5 megapixels,,,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Speakerphone","Android (4.0.3, 3.2, 3.0)","Voice commands, Voice recording","Computer sync, OTA sync",,,,,,Single camera,,1024 x 600 pixels,,,,"Accelerometer, Gyroscope, Compass",Multiple speakers,up to 32 GB,,TFT,,"850, 900, 1900, 2100 MHz",USB 2.0,0,,Yes,,,,None,"802.11 b, g, n",8.0
,,for Noise cancellation,"2.1, EDR",,,,,,,10.24 x 6.97 x 0.52 inches (260 x 177 x 13.3 mm ),10.1 inches,,,,,"Ambient light sensor, Scratch-resistant glass (Corning Gorilla Glass)",,LED,,2 megapixels,,,Micro HDMI (Type D),3.5mm,,,,,,5 megapixels,,,,,GPS,,"Android (4.0.3, 3.2, 3.1, 3.0)",Voice recording,"Computer sync, OTA sync",,,,,,Single camera,,1280 x 800 pixels,,,,"Accelerometer, Gyroscope, Compass",Multiple speakers,up to 32 GB,,LCD,,,USB 2.0,0,,1280x720 (HD) (29 fps),,,,None,Yes,9.7
,,,"2.1, EDR",,,,,"HSDPA 7.2 Mbit/s, HSUPA 2 Mbit/s, UMTS",,4.70 x 2.48 x 0.44 inches (119.5 x 63 x 11.2 mm),3.7 inches,,,,,"Ambient light sensor, Proximity sensor",,,,,"850, 900, 1800, 1900 MHz",,Micro HDMI (Type D),3.5mm,,,,,,5 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (2.1),Voice recording,"UPnP, Computer sync, OTA sync",,,,512 MB,"FM, RDS",Single camera,,480 x 800 pixels,,DLNA,,"Accelerometer, Compass",,up to 32 GB,,AMOLED,,"900, 1900, 2100 MHz",USB 2.0,0,,1280x720 (HD) (24 fps),,,,None,"802.11 b, g, n",7.3
,,,2.0,,,,,"UMTS, HSDPA 7.2 Mbit/s, HSUPA 2 Mbit/s",,4.53 x 2.46 x 0.49 inches (115 x 62.5 x 12.5 mm),3.5 inches,,,,,"Ambient light sensor, Proximity sensor",,,,,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,5 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (2.1),Voice recording,"Computer sync, OTA sync",,,,512 MB,FM,Single camera,,480 x 800 pixels,,,,Accelerometer,,,,TFT,,"900, 1900, 2100 MHz",USB 2.0,0,,640x480 (VGA) (20 fps),,,,None,"802.11 b, g",8.2
,,,2.0,,,,,"HSDPA 7.2 Mbit/s, HSUPA 2 Mbit/s, UMTS",,4.53 x 2.46 x 0.49 inches (115 x 62.5 x 12.5 mm),3.5 inches,,,,,"Ambient light sensor, Proximity sensor",,,,,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,$ 400,5 megapixels,,,,,None,"Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (1.6),Voice recording,"Computer sync, OTA sync",,,,512 MB,FM,Single camera,,480 x 800 pixels,,,,Accelerometer,,,,TFT,,"900, 1900, 2100 MHz",USB 2.0,0,,640x480 (VGA) (20 fps),,,,None,"802.11 b, g",9.0
,,,"2.1, EDR",,,,,"HSDPA 7.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,4.67 x 2.48 x 0.47 inches (118.6 x 63 x 12 mm),3.8 inches,,,,,Proximity sensor,,LED,,,"850, 900, 1800, 1900 MHz",,,3.5mm,M4,,,,,5 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Speakerphone",Windows Mobile Professional (6.5),Voice recording,Computer sync,,,,512 MB,FM,Single camera,,480 x 800 pixels,,,,Accelerometer,,,,TFT,,"850, 1900, 2100 MHz",USB 2.0,0,,Yes,,,,None,"802.11 b, g",8.0
,,,2.1,,,,,"HSDPA 3.6 Mbit/s, HSUPA, UMTS",,4.63 x 2.50 x 0.62 inches (117.5 x 63.5 x 15.8 mm),3.8 inches,,,,,Stylus,,LED,,,"850, 900, 1800, 1900 MHz",,,,,,,,,3.2 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Speakerphone",Windows Mobile Professional (6.1),"Voice dialing, Voice commands, Voice recording",Computer sync,,,,256 MB,"FM, RDS",Single camera,,480 x 800 pixels,,,,Accelerometer,,,,TFT,,"850, 1900, 2100 MHz",USB 2.0,0,,Yes,,,,None,"802.11 b, g",5.7
,,,"2.0, EDR",,,,,"HSDPA 3.6 Mbit/s, HSUPA, UMTS",,4.69 x 2.44 x 0.67 inches (119 x 62 x 17.1 mm),3.8 inches,,,,,"Stylus, Full keyboard",,Yes,,,"850, 900, 1800, 1900 MHz",,,2.5mm,,,,,,5 megapixels,,,,,None,"Music ringtones (MP3), Vibration, Phone profiles, Speakerphone",Windows Mobile Professional (6.1),"Voice dialing, Voice commands, Voice recording","VoIP, Computer sync",,,,256 MB,"FM, RDS",Single camera,,480 x 800 pixels,,,,Accelerometer,,,,TFT,,"850, 1900, 2100 MHz",USB 2.0,0,,Yes,,,,None,"802.11 b, g",9.1
,,,4.2,,,MediaTek Pump Express,Black,"LTE-A Cat 6 (300/50 Mbit/s), HSPA, HSUPA, UMTS",,6.38 x 2.95 x 0.34 inches (162.1 x 74.9 x 8.6 mm),6.0 inches,,,,,"Scratch-resistant glass (Dragontrail), Ambient light sensor, Proximity sensor",,Dual LED,,8 megapixels,"850, 900, 1800, 1900 MHz",,,3.5mm,"M4, T3",,"Bands 2, 4, 5, 12, 66, 71",,$ 180,12 megapixels,Back: Glass,,,,None,"Haptic feedback, Music ringtones, Vibration",Android (8.1 Oreo),"Voice dialing, Voice commands, Voice recording, TTY/TDD","UMA (Wi-Fi Calling), Infrared, VoIP, Tethering, Computer sync, OTA sync",,,,,FM,Dual camera,,1080 x 2160 pixels,Nano SIM,Wireless screen share,2 megapixels,"Accelerometer, Gyroscope, Compass, Hall (for flip covers)","Earpiece, Loudspeaker",up to 128 GB,,LCD,,"850, 1700/2100, 1900 MHz",Yes,0,,1920x1080 (Full HD) (30 fps),Yes,,,None,"802.11 a, b, g, n, dual-band",9.5
,,,4.2,,,,Silver,"LTE, HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",,5.75 x 2.83 x 0.31 inches (146.1 x 71.9 x 7.9 mm),5.2 inches,,,,,Touch sensitive control keys,,Dual LED,,5 megapixels,"850, 900, 1800, 1900 MHz",,,3.5mm,"M4, T3",,"Bands 2, 4, 5, 7, 12",,$ 150,13 megapixels,Back: Plastic,,,,"GPS, A-GPS, Glonass",Haptic feedback,Android (7.0 Nougat),"Voice dialing, Voice commands, Voice recording","VoIP, Tethering, Computer sync, OTA sync",,,,,FM,Single camera,,720 x 1280 pixels,Nano SIM,Wireless screen share,,"Accelerometer, Compass","Earpiece, Loudspeaker",up to 128 GB,,IPS LCD,,"850, 1700/2100, 1900, 2100 MHz",Yes,0,,1920x1080 (Full HD),Yes,,,None,"802.11 a, b, g, n, dual-band",4.5
,,,3.0,,"800, 1900 MHz",,Black,"LTE, UMTS",,4.13 x 2.08 x 0.74 inches (105 x 52.8 x 18.7 mm),2.8 inches,,,,,"Numeric keypad, Soft keys",,,,,"850, 900, 1800, 1900 MHz",,,3.5mm,"M4, T4",,"Bands 25, 26",Bands 41,,2 megapixels,Back: Plastic,,,,A-GPS,"Music ringtones, Vibration, Phone profiles, Flight mode, Silent mode, Speakerphone",,,,,,,,,Single camera,,240 x 320 pixels,Nano SIM,,,,"Earpiece, Loudspeaker",up to 32 GB,,TFT,,"850, 1700/2100, 1900, 2100 MHz",USB 2.0,0,,1280x720 (HD),,,,None,"802.11 b, g, n",7.0
,,for Noise cancellation,4.1,,,Yes,Black,"LTE-A Cat 6 (300/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",,6.05 x 2.97 x 0.28 inches (153.7 x 75.4 x 6.99 mm),5.5 inches,,,,,"Oleophobic coating, Scratch-resistant glass (Dragontrail), Ambient light sensor, Proximity sensor",,Dual LED,,8 megapixels,"850, 900, 1800, 1900 MHz",Yes,,3.5mm,"M4, T3",,"Bands 2, 4, 12",,,21 megapixels,Back: Glass; Frame: Metal,,,,None,Haptic feedback,Windows (10 Mobile),"Voice dialing, Voice commands, Voice recording, TTY/TDD","Tethering, Computer sync, OTA sync",,,,,,Single camera,,1080 x 1920 pixels,Nano SIM,Wireless screen share,,"Accelerometer, Gyroscope, Compass, Hall (for flip covers)","Earpiece, Multiple speakers",up to 512 GB,,AMOLED,,"850, 1700/2100, 1900 MHz",USB 2.0,0,,"3840x2160 (4K UHD) (30 fps), 1920x1080 (Full HD) (30 fps)",,,,None,"802.11 a, b, g, n, ac, dual-band",9.0
,,,4.1,,"800, 1900 MHz",,,"LTE Cat 4 (150/50 Mbit/s), HSPA, UMTS",,5.20 x 2.56 x 0.39 inches (132.2 x 65.1 x 10.01 mm),4.5 inches,,,,,"Touch sensitive control keys, Soft keys",,,,2 megapixels,"850, 900, 1800, 1900 MHz",,,3.5mm,"M3, T4",,"Bands 25, 26",Bands 41,,5 megapixels,,,,,"GPS, A-GPS",Haptic feedback,Android (6.0 Marshmallow),"Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,FM,Single camera,,480 x 854 pixels,,,,Accelerometer,"Earpiece, Loudspeaker",up to 128 GB,,TFT,,"850, 1700/2100, 1900, 2100 MHz",USB 2.0,0,,1280x720 (HD) (30 fps),,,,None,"802.11 b, g, n",8.0
,,for Noise cancellation,4.2,,,Yes,,"LTE Cat 4 (150/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",,5.79 x 2.85 x 0.28 inches (147 x 72.5 x 7.1 mm),5.2 inches,,,,,"Ambient light sensor, Proximity sensor",,Dual LED,,8 megapixels,"850, 900, 1800, 1900 MHz",Yes,,3.5mm,"M4, T4",,"Bands 1, 3, 7, 8, 20, 28","Bands 38, 40",,13 megapixels,Back: Glass; Frame: Metal,10 GB,,,"GPS, A-GPS","Haptic feedback, Music ringtones (MP3, AAC, AAC+, WAV, OGG), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (6.0 Marshmallow),"Voice dialing, Voice commands, Voice recording","NFC, Tethering, Computer sync, OTA sync",,,,,"FM, RDS",Single camera,,1080 x 1920 pixels,Nano SIM,Wireless screen share,,"Accelerometer, Gyroscope, Compass","Earpiece, Multiple speakers",up to 512 GB,,IPS LCD,,"850, 900, 1900, 2100 MHz",USB 2.0,0,,1920x1080 (Full HD) (30 fps),,,,None,"802.11 a, b, g, n, ac, dual-band",7.0
,,,4.1,,,,Black,"LTE Cat 4 (150/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",,6.01 x 2.96 x 0.29 inches (152.7 x 75.14 x 7.4 mm),5.5 inches,,,,,"Scratch-resistant glass (Dragontrail), Ambient light sensor, Proximity sensor",,LED,,8 megapixels,"850, 900, 1800, 1900 MHz",Yes,,3.5mm,"M3, T3",,"Bands 12, 17, 5, 4, 2, 7",,,13 megapixels,,10 GB,,,"GPS, A-GPS","Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (5.0 Lollipop),"Voice dialing, Voice commands, Voice recording","NFC, Tethering, Computer sync, OTA sync",,,,,"FM, RDS",Single camera,,1080 x 1920 pixels,Micro SIM,DLNA,,"Accelerometer, Compass, Gesture","Earpiece, Multiple speakers",up to 128 GB,,IPS LCD,,"850, 1700/2100, 1900, 2100 MHz",USB 2.0,0,,1920x1080 (Full HD) (30 fps),,,,None,"802.11 a, b, g, n, dual-band",8.5
,,,Yes,,,,Black,"HSPA, UMTS",,5.55 x 2.83 x 0.39 inches (141 x 71.9 x 9.9 mm),5.0 inches,,,,,"Ambient light sensor, Proximity sensor",,LED,,0.3 megapixels VGA,"850, 900, 1800, 1900 MHz",,,3.5mm,"M3, T3",,,,,5 megapixels,,,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (4.4),"Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,4096 MB,,Single camera,,540 x 960 pixels,,,,"Accelerometer, Compass","Earpiece, Loudspeaker",up to 32 GB,,,,"850, 1700/2100, 1900 MHz",USB 2.0,0,,1280x720 (HD),,,,None,"802.11 b, g, n",8.5
,,,4.0,,,,"Black, White","HSDPA+ (4G) 21.1 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,7.56 x 4.45 x 0.35 inches (192 x 113 x 8.9 mm),7.0 inches,,,,,Ambient light sensor,,,,0.3 megapixels VGA,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,,2 megapixels,,2.4 GB,,,"GPS, A-GPS","Flight mode, Silent mode",Android (4.2),"Voice commands, Voice recording","Tethering, Computer sync, OTA sync, Infrared",,,,4096 MB,,Single camera,,1024 x 600 pixels,,,,"Accelerometer, Compass","Earpiece, Loudspeaker",up to 32 GB,,TFT,,"900, 2100 MHz",USB 2.0,0,,1280x720 (HD),,,,None,"802.11 b, g, n",10.0
,,,4.0,,,,"Black, White","HSDPA+ (4G) 21.1 Mbit/s, HSUPA 11 Mbit/s",,5.53 x 2.72 x 0.32 inches (140.4 x 69.1 x 8.1 mm),5.0 inches,,Yes,,,"Ambient light sensor, Proximity sensor, Scratch-resistant glass (Corning Gorilla Glass 2), Oleophobic coating",,LED,,2 megapixels,"850, 900, 1800, 1900 MHz",,,3.5mm,,,,,$ 330,13.1 megapixels,,12.3 GB,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Android (4.4.4, 4.2)","Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,"FM, Stereo, RDS",Single camera,,1080 x 1920 pixels,Micro SIM,"DLNA, Wireless screen share",,"Accelerometer, Compass","Earpiece, Multiple speakers",,,IPS LCD,,"900, 2100 MHz",USB 2.0,0,,1920x1080 (Full HD) (30 fps),,,,None,"802.11 b, g, n",9.0
,,,4.0,,,,Black,"HSDPA 7.2 Mbit/s, HSUPA 5.76 Mbit/s",,4.78 x 2.52 x 0.46 inches (121.5 x 64 x 11.8 mm),4.0 inches,,,,,"Ambient light sensor, Proximity sensor",,,,0.3 megapixels VGA,"850, 900, 1800, 1900 MHz",,,3.5mm,"M3, T3",,,,,5 megapixels,,1.4 GB,,,"GPS, A-GPS","Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (4.1),"Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,"FM, Stereo, RDS",Single camera,,480 x 800 pixels,,,,"Accelerometer, Compass","Earpiece, Loudspeaker",up to 32 GB,,TFT,,"850, 1700/2100, 1900, 2100 MHz",USB 2.0,0,,1280x720 (HD),,,,None,"802.11 b, g, n",8.0
,,,4.0,,,,"Black, Gray","HSDPA+ (4G) 21.1 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",,5.13 x 2.64 x 0.35 inches (130.3 x 67 x 8.99 mm),4.5 inches,,,,,"Ambient light sensor, Proximity sensor",,LED,,0.3 megapixels VGA,"850, 900, 1800, 1900 MHz",,,3.5mm,"M3, T3",,,,,5 megapixels,,2.4 GB,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (4.2.2),"Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,"FM, Stereo, RDS",Single camera,,540 x 960 pixels,Micro SIM,,,"Accelerometer, Compass","Earpiece, Loudspeaker",up to 32 GB,,LCD,,"850, 1700/2100, 1900 MHz",USB 2.0,0,,1280x720 (HD) (30 fps),,,,None,"802.11 b, g, n",7.6
,,,4.0,,,,"Black, Pink, Blue, Red, White","HSDPA+ (4G) 21.1 Mbit/s, UMTS",,5.55 x 2.83 x 0.39 inches (141 x 71.8 x 9.9 mm),5.0 inches,,,,,"Ambient light sensor, Proximity sensor, Oleophobic coating",,LED,,0.3 megapixels VGA,"850, 900, 1800, 1900 MHz",,,3.5mm,M3,,,,,5 megapixels,,2 GB,,,None,"Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (4.2),"Voice dialing, Voice commands, Voice recording","Tethering, Computer sync, OTA sync",,,,,"FM, RDS",Single camera,,480 x 854 pixels,Micro SIM,,,Accelerometer,"Earpiece, Loudspeaker",up to 32 GB,,TFT,,"850, 1900, 2100 MHz",USB 2.0,0,,1280x720 (HD) (30 fps),,,,None,"802.11 b, g, n",8.0
,,,4.0,,,,"Black, Blue, White","HSDPA+ (4G) 42.2 Mbit/s, HSUPA 11 Mbit/s",,6.24 x 3.17 x 0.33 inches (158.5 x 80.6 x 8.5 mm),6.0 inches,,,,,Stylus,,LED,,2 megapixels,"850, 900, 1800, 1900 MHz",,,3.5mm,,"Charger, USB cable, Headset and Quick start guide",,,,13 megapixels,,5.6 GB,,,"GPS, A-GPS","Haptic feedback, Music ringtones (MP3), Polyphonic ringtones, Vibration, Flight mode, Silent mode, Speakerphone",Android (4.2),"Voice dialing, Voice commands, Voice recording","NFC, Tethering, Computer sync, OTA sync",,,Separate accessory,,"FM, Stereo, RDS",Single camera,,1080 x 1920 pixels,Micro SIM,DLNA,,"Accelerometer, Gyroscope, Compass","Earpiece, Loudspeaker",up to 32 GB,,IPS LCD,,"900, 2100 MHz",USB 2.0,0,,1920x1080 (Full HD),,,,None,"802.11 a, b, g, n",7.0
